id,temp,humidity,rainfall,cases,date
1,24,49,3,21,2015-07-31
2,22,65,,1,2014-01-06
3,23,60,,411,2014-09-04
4,27,63,,333,2014-07-19
5,25,64,,41,2014-10-13
6,34,35,,144,2015-06-22
7,21,47,,98,2014-06-16
8,37,35,,542,2014-01-09
9,35,71,3,,2014-03-23
10,34,44,,,2014-11-23
11,26,42,,272,2015-06-18
12,35,37,5,561,2014-06-10
13,32,71,,383,2014-08-04
14,31,36,,68,2015-11-08
15,37,45,2,528,2015-04-11
16,35,38,,578,2015-07-12
17,29,72,4,,2014-10-18
18,33,53,,581,2015-07-15
19,25,50,,403,2015-01-29
20,29,73,,44,2015-02-14
21,37,56,,393,2015-08-25
22,25,57,,329,2015-05-06
23,24,69,3,31,2014-01-12
24,23,51,,,2015-06-03
25,20,67,1,596,2014-03-19
26,24,38,6,351,2015-08-02
27,34,63,,53,2014-08-29
28,23,35,,123,2014-10-29
29,31,65,,443,2015-01-04
30,37,52,,304,2014-03-24
31,37,67,5,568,2015-07-18
32,40,62,,148,2015-06-15
33,24,63,3,285,2015-08-24
34,35,56,,224,2014-02-20
35,20,72,,189,2014-05-18
36,27,55,6,91,2014-02-27
37,20,40,,536,2014-12-04
38,34,42,,360,2015-01-01
39,24,64,,595,2014-04-06
40,20,72,,569,2015-10-20
41,39,60,6,,2014-04-07
42,30,59,,46,2015-08-03
43,20,71,,562,2015-04-05
44,26,54,,8,2014-01-27
45,24,49,,469,2014-10-02
46,31,69,1,413,2014-11-30
47,32,40,,,2014-03-30
48,29,48,,137,2014-10-10
49,23,61,,567,2014-09-30
50,25,41,3,204,2015-07-07
51,28,67,5,,2014-12-16
52,39,57,,138,2015-08-20
53,20,54,4,443,2014-07-29
54,20,37,1,195,2014-12-28
55,23,41,,42,2014-08-23
56,22,61,,246,2015-07-25
57,25,67,5,12,2014-12-21
58,40,65,3,431,2015-01-20
59,30,41,,157,2014-04-18
60,33,50,,418,2014-06-06
61,26,39,4,259,2015-03-18
62,26,69,2,493,2015-01-18
63,29,73,,124,2014-12-17
64,26,55,6,,2015-02-10
65,26,50,6,543,2015-01-07
66,35,45,,153,2014-12-26
67,27,67,,97,2014-09-12
68,30,41,,133,2015-04-25
69,26,48,,231,2014-04-04
70,23,56,,555,2015-10-25
71,29,39,,29,2015-09-28
72,32,70,,260,2014-02-18
73,32,70,,585,2015-07-20
74,30,70,,356,2015-08-19
75,38,49,4,,2015-06-09
76,24,70,5,,2015-04-03
77,25,46,,581,2015-04-14
78,28,70,,103,2015-08-17
