id,temp,humidity,rainfall,cases,date
1,40,38,5,,2001-01-26
2,34,69,,151,2000-11-18
3,26,46,,519,2001-03-31
4,26,36,,571,2000-12-19
5,24,52,4,152,2000-07-28
6,30,46,4,462,2000-09-17
7,31,66,,420,2001-01-10
8,33,55,1,479,2001-11-13
9,38,70,,,2001-11-29
10,27,47,,183,2001-02-19
11,30,69,,,2001-03-29
12,32,73,2,135,2000-07-12
13,34,40,,,2000-01-21
14,21,49,,579,2001-07-20
15,26,74,,,2000-12-07
16,24,54,2,476,2001-04-19
17,30,73,2,180,2000-02-26
18,38,37,,508,2000-09-03
19,34,57,5,148,2001-04-19
20,38,55,,113,2000-04-28
21,23,50,,77,2000-03-25
22,38,73,5,89,2001-02-13
23,36,40,,142,2000-04-19
24,38,57,6,513,2000-12-10
25,29,35,,177,2001-11-15
26,38,41,,177,2000-06-12
27,23,68,,80,2001-08-10
28,24,74,1,73,2000-08-27
29,30,67,,131,2000-03-15
30,29,56,,92,2001-01-01
31,20,43,4,6,2001-02-11
32,33,66,5,68,2000-08-10
33,38,49,1,22,2001-04-17
34,34,47,5,143,2001-06-17
35,36,57,,302,2000-12-09
36,36,58,,123,2001-05-05
37,36,56,,131,2001-06-08
38,34,41,,503,2001-09-04
39,28,61,,,2001-05-13
40,30,68,,543,2001-05-17
41,31,74,,333,2000-08-21
42,28,45,,521,2001-09-11
43,36,69,,480,2001-01-17
44,20,72,,406,2001-08-08
45,21,45,,77,2001-11-30
46,36,42,,210,2001-02-13
47,34,66,,547,2001-05-07
48,29,45,,333,2001-05-29
49,22,70,,412,2001-05-04
50,23,61,2,477,2001-09-11
51,40,69,,546,2000-07-16
52,37,52,4,545,2000-12-08
53,34,74,1,85,2001-06-13
54,37,64,,511,2001-01-06
55,33,73,,103,2001-08-19
56,32,40,,217,2000-08-15
57,22,62,2,,2001-08-16
58,38,55,,337,2000-06-28
59,30,45,,,2000-07-01
60,25,72,,57,2001-01-15
61,25,73,,,2000-12-31
62,36,52,,460,2000-01-10
63,26,72,,506,2001-08-13
64,29,54,4,336,2000-02-15
65,29,70,1,471,2000-10-31
66,25,39,,528,2000-11-22
67,27,70,,137,2000-03-04
68,30,42,,396,2001-05-17
69,23,54,,559,2000-09-12
70,29,39,2,378,2000-12-20
71,40,49,,93,2000-10-05
72,39,49,,,2001-11-09
73,34,39,,6,2001-05-09
74,38,73,3,454,2000-11-13
75,24,74,5,131,2000-12-04
76,21,58,3,385,2000-04-28
77,40,54,6,348,2000-10-30
78,37,44,,539,2001-10-31
79,34,59,,74,2001-03-04
80,25,59,2,,2000-05-30
81,30,74,,345,2001-07-12
82,20,65,,139,2000-01-16
83,35,45,,94,2000-02-10
84,21,55,,184,2000-05-07
85,30,75,6,436,2001-07-26
86,30,44,,,2001-10-05
87,23,62,,494,2001-08-03
88,28,74,,551,2001-04-12
89,39,73,,296,2000-06-01
90,31,59,5,183,2000-10-31
91,30,57,,351,2001-08-24
92,35,54,2,218,2000-03-19
93,38,41,,566,2001-07-12
94,22,48,,66,2000-10-09
95,38,39,,351,2000-02-24
96,24,40,,225,2001-04-10
97,40,53,,13,2001-09-27
98,26,72,,,2000-01-08
99,20,59,,265,2001-08-09
100,34,66,,342,2000-09-18
101,33,73,6,457,2001-10-27
102,38,73,,600,2000-02-15
103,29,44,,586,2000-07-23
104,22,72,2,56,2001-03-04
105,34,35,,122,2000-09-24
106,23,35,1,,2001-01-20
107,36,57,1,72,2001-07-19
108,38,73,3,582,2000-02-21
109,38,69,1,173,2000-07-15
110,22,44,,277,2000-05-31
111,25,39,,383,2001-05-11
112,35,48,,249,2000-03-27
113,39,48,6,,2000-08-30
114,21,41,,183,2000-07-02
115,25,41,,488,2000-09-01
116,22,54,,274,2001-11-15
117,30,47,,124,2001-02-17
118,32,69,2,41,2001-04-08
119,28,45,,231,2000-08-23
120,20,56,,586,2001-01-05
121,20,43,2,113,2000-05-04
122,36,48,5,509,2001-11-10
123,21,54,3,410,2000-03-08
124,21,50,1,599,2001-01-17
125,39,38,,468,2001-01-28
126,33,40,3,424,2000-07-26
127,32,62,4,482,2000-02-07
128,38,55,,174,2000-06-10
129,35,58,5,296,2000-05-11
130,30,39,,379,2000-06-19
131,31,48,,95,2000-09-28
132,28,54,6,18,2000-12-11
133,26,40,5,275,2001-01-09
134,24,51,,424,2000-04-13
135,30,60,,182,2000-01-10
136,40,75,,186,2001-06-05
137,39,43,,,2000-05-05
138,29,63,,403,2001-08-04
139,25,35,,299,2000-12-27
140,28,64,2,491,2001-05-30
141,30,75,,,2001-02-03
142,26,58,1,424,2000-08-05
143,20,56,3,85,2000-05-27
144,20,73,,18,2000-04-12
145,22,50,,407,2000-07-25
146,20,40,,31,2001-08-30
147,23,72,,194,2000-08-28
148,24,70,,320,2001-09-08
149,35,35,,573,2000-04-01
150,20,66,6,394,2000-06-11
151,35,68,,537,2001-09-07
152,30,40,,487,2000-11-23
153,35,61,,195,2000-12-02
154,33,68,5,442,2001-02-16
155,35,40,,440,2001-11-25
156,27,41,,184,2000-01-07
157,24,47,,,2000-10-14
158,39,62,,,2000-08-25
159,24,68,,437,2001-08-20
160,33,38,,143,2000-03-05
161,30,72,6,379,2001-06-29
162,20,52,,130,2000-11-10
163,24,55,1,71,2000-05-01
164,31,47,3,112,2000-01-21
165,21,54,,524,2001-01-22
166,32,36,1,270,2000-04-02
167,29,71,,412,2000-09-02
168,33,66,,111,2000-01-04
169,29,64,5,94,2001-10-08
170,37,65,,,2001-05-26
171,24,46,5,38,2001-07-12
172,20,37,,507,2001-02-23
173,20,41,,73,2001-06-30
174,40,68,,274,2001-07-07
