id,temp,humidity,rainfall,cases,date
1,30,65,,,2003-08-14
2,21,72,,580,2002-05-06
3,24,47,2,,2003-01-24
4,33,65,5,34,2002-07-06
5,36,45,,442,2002-09-26
6,33,38,,565,2003-06-07
7,36,35,,469,2002-04-28
8,26,37,,231,2002-09-26
9,29,61,,562,2002-10-30
10,36,75,,547,2003-06-07
11,27,53,,223,2003-05-22
12,31,55,5,129,2002-01-27
13,37,69,,74,2002-02-24
14,27,42,1,102,2003-07-08
15,24,56,,440,2003-08-29
16,29,45,6,84,2003-08-16
17,34,72,,323,2003-02-19
18,40,41,,102,2002-12-19
19,31,68,6,,2003-08-24
20,37,63,,93,2003-12-08
21,26,43,4,146,2003-11-12
22,36,68,,173,2002-05-25
23,34,55,,102,2003-08-20
24,32,61,,511,2002-03-26
25,23,73,5,420,2002-12-07
26,25,59,,389,2003-06-01
27,38,69,2,136,2003-09-19
28,32,66,6,168,2002-03-07
29,24,69,,471,2003-09-15
30,23,45,,400,2002-03-15
31,21,49,1,393,2002-09-04
32,29,70,,,2003-11-29
33,39,60,,557,2002-08-04
34,26,44,,321,2003-08-04
35,36,68,,210,2003-02-26
36,33,46,,465,2002-02-07
37,33,69,3,,2002-01-22
38,20,71,,411,2003-03-26
39,32,52,,,2003-05-03
40,25,67,3,522,2002-04-13
41,28,63,,126,2003-08-31
42,24,72,,330,2002-11-29
43,33,64,4,243,2002-12-25
44,27,74,,370,2003-10-25
45,23,74,,235,2002-12-12
46,32,44,,148,2003-06-22
47,20,38,,94,2003-08-15
48,36,44,,330,2003-06-08
49,36,48,,227,2002-08-08
50,23,46,,2,2002-09-15
51,35,36,,208,2002-03-04
52,29,70,4,37,2002-06-13
53,37,41,3,433,2002-02-05
54,24,41,,273,2003-08-11
55,30,39,2,217,2003-10-01
56,26,54,,233,2002-10-12
57,36,61,,278,2003-01-07
58,30,60,,136,2002-02-01
59,38,64,5,128,2003-02-06
60,33,48,,509,2003-01-20
61,23,61,,153,2002-04-19
62,21,45,,39,2002-09-09
63,34,52,,285,2003-10-24
64,27,62,1,545,2003-03-25
65,40,65,,347,2002-07-08
66,24,50,5,219,2003-06-23
67,35,67,1,199,2003-07-02
68,27,48,5,241,2003-11-26
69,37,60,,544,2002-07-18
70,39,50,1,133,2002-02-23
71,35,64,3,498,2002-10-21
72,29,72,,100,2003-01-15
73,35,55,,,2003-12-08
74,38,58,,42,2003-05-11
75,29,44,,242,2003-02-07
76,36,55,5,178,2003-03-05
77,38,53,,402,2003-04-03
78,35,75,2,149,2002-07-16
79,35,63,,502,2002-01-25
80,33,71,,189,2002-08-29
81,22,53,,,2003-06-24
82,36,68,,216,2003-01-14
83,40,66,,506,2003-08-26
84,27,47,,314,2002-09-11
85,40,40,,341,2003-11-03
86,28,55,,412,2002-03-14
87,24,48,,127,2002-10-17
88,26,47,,395,2002-12-22
89,27,68,,443,2003-10-20
90,39,59,2,,2002-10-23
91,21,62,,542,2003-06-05
92,32,35,2,173,2003-03-30
93,36,72,,268,2002-03-02
94,24,49,,272,2003-03-01
95,21,39,2,584,2002-01-06
96,26,58,,397,2002-08-04
97,40,73,,519,2002-05-05
98,22,40,,,2002-06-17
99,29,68,1,386,2003-05-27
100,29,39,1,405,2003-07-03
101,35,42,,152,2003-06-18
102,27,45,,76,2002-03-17
103,23,67,,,2003-11-14
104,24,65,,511,2002-04-06
105,23,62,,75,2003-08-22
106,38,55,,586,2003-06-30
107,26,68,,294,2002-08-23
108,27,41,,240,2002-01-02
109,32,46,,204,2003-02-08
110,20,53,,357,2003-06-23
111,36,44,,391,2002-12-05
112,29,53,5,,2003-08-07
113,30,75,,72,2003-11-08
114,27,75,,288,2003-05-26
115,25,46,,68,2003-04-28
116,31,69,1,196,2003-09-08
117,25,42,3,266,2002-12-30
118,20,60,,178,2002-02-06
119,30,38,,547,2003-07-17
120,40,47,2,592,2002-10-12
121,40,68,,,2003-05-27
122,40,46,,295,2002-03-01
123,20,40,,397,2002-06-15
124,33,35,,44,2002-09-18
125,32,71,,519,2003-02-11
126,31,41,4,483,2002-01-29
127,21,59,4,478,2003-03-12
128,38,49,4,424,2002-11-24
129,28,53,1,262,2002-08-22
130,30,56,,64,2002-12-12
131,21,64,,70,2002-07-12
132,27,60,6,139,2003-08-02
133,30,43,1,70,2002-08-05
134,39,39,,251,2002-12-21
135,32,41,,96,2002-11-20
136,30,64,,10,2003-07-05
137,33,65,,,2002-10-24
138,30,50,,490,2003-04-08
139,23,72,,569,2002-10-30
140,34,47,,287,2003-04-19
141,29,54,,403,2003-11-07
142,25,70,5,394,2002-11-05
143,20,54,,119,2002-05-19
144,37,57,,193,2002-11-21
145,40,64,1,215,2003-06-23
146,29,43,1,443,2002-09-30
147,37,49,2,70,2002-10-15
148,22,35,,293,2002-06-08
149,37,58,,371,2003-08-18
150,37,73,,293,2003-03-17
151,24,42,,599,2003-10-10
152,22,46,,132,2003-06-03
153,25,61,,355,2003-08-23
154,36,51,,535,2002-03-14
155,36,71,6,470,2003-06-02
156,40,67,,121,2002-06-11
157,24,49,,10,2002-03-11
158,22,52,,206,2003-11-28
159,32,49,,44,2003-01-21
160,39,57,,336,2002-04-28
161,35,54,3,146,2003-07-27
162,21,74,4,,2003-05-30
163,37,49,,89,2002-06-20
164,38,59,4,578,2002-09-28
165,27,52,,73,2002-03-17
166,27,39,,260,2002-07-22
167,40,41,,,2002-09-25
168,34,61,,292,2003-03-03
169,25,62,6,456,2002-04-08
170,35,56,,591,2002-11-28
171,24,54,5,274,2003-11-03
172,38,62,6,516,2003-08-21
173,26,65,,129,2002-11-12
174,25,70,,278,2003-06-26
175,32,59,,2,2002-06-15
176,23,42,,306,2002-11-01
177,38,63,5,584,2002-11-09
178,21,73,3,345,2003-07-28
179,32,54,,375,2002-07-31
180,29,68,3,548,2003-09-19
181,28,63,,205,2003-09-15
182,38,68,,341,2002-11-28
183,32,71,,599,2002-12-04
184,29,49,,123,2003-07-22
185,40,49,,514,2002-03-06
186,24,43,2,426,2002-07-07
187,27,71,,76,2003-04-02
188,21,66,,,2002-07-26
189,40,41,,84,2003-11-30
190,30,46,,16,2003-08-12
191,40,47,,105,2003-08-10
192,23,61,5,244,2002-03-11
193,21,75,1,422,2003-04-23
194,25,69,,152,2003-11-18
195,20,58,,,2002-10-04
196,40,40,2,95,2002-10-08
197,22,75,5,360,2002-01-12
198,20,47,,402,2003-08-13
199,30,49,,75,2003-05-31
200,26,62,4,,2003-08-01
201,39,45,4,369,2003-05-09
202,23,50,,15,2003-08-10
203,23,41,3,540,2002-09-01
204,27,72,2,333,2002-11-20
205,20,61,3,553,2002-04-10
206,26,50,,473,2003-06-28
207,25,71,,81,2003-06-26
208,36,38,,571,2002-01-07
209,38,73,4,377,2003-03-03
210,31,58,,586,2002-02-04
211,39,57,,333,2003-07-26
212,36,68,,102,2002-12-25
213,25,45,1,334,2002-09-19
214,24,55,,279,2002-12-05
215,37,42,,551,2003-11-22
216,26,47,,479,2003-05-24
217,31,59,5,199,2002-07-19
218,35,71,5,506,2003-03-13
219,32,36,,60,2003-04-06
220,38,64,3,163,2002-03-03
221,25,68,4,161,2002-11-27
222,37,66,3,511,2003-02-20
223,38,39,,266,2003-06-08
224,32,35,,178,2002-03-05
225,26,35,,107,2002-12-02
226,28,69,1,516,2003-11-30
227,25,54,,209,2003-07-13
228,32,74,1,589,2002-06-25
229,24,53,,292,2002-08-02
230,28,65,,509,2002-11-16
231,21,68,3,56,2002-03-14
232,37,38,,231,2003-11-27
233,31,68,6,108,2003-11-26
234,40,67,,557,2003-08-05
235,39,35,,226,2002-06-18
236,21,46,,219,2003-12-06
237,35,71,6,,2003-11-29
238,38,43,3,366,2003-03-17
239,34,41,3,440,2003-03-30
240,40,62,3,418,2002-04-21
241,20,40,,235,2003-01-03
242,36,68,,523,2003-06-09
243,22,70,,155,2003-04-02
244,29,56,,260,2002-08-18
245,23,41,,594,2003-08-30
246,33,38,4,,2003-05-18
247,26,59,,428,2003-08-28
248,28,43,,160,2003-11-21
249,22,74,1,266,2003-09-01
250,26,47,,123,2002-08-20
251,37,37,,124,2003-09-07
252,23,64,2,475,2002-02-28
253,26,62,,,2003-03-08
254,22,60,,256,2003-02-05
255,26,64,4,70,2002-04-29
256,22,50,,,2003-10-13
257,23,74,,104,2002-04-26
258,24,71,,347,2002-01-20
259,34,51,,414,2003-11-06
260,36,49,4,357,2003-10-08
261,28,74,,187,2003-02-10
262,27,38,2,124,2002-11-20
263,39,61,,216,2002-08-17
264,37,35,4,112,2002-12-17
