id,temp,humidity,rainfall,cases,date
1,25,74,,43,2010-04-29
2,36,72,,277,2011-08-29
3,26,63,,529,2011-04-28
4,34,47,,380,2011-04-09
5,21,57,3,323,2011-05-06
6,28,53,,576,2010-03-20
7,32,48,,344,2011-10-26
8,21,57,,152,2010-01-01
9,23,46,,198,2010-10-10
10,34,41,,,2010-01-24
11,35,53,,90,2011-05-28
12,28,50,,361,2010-10-29
13,39,54,,37,2011-01-27
14,36,49,2,582,2010-05-09
15,25,40,5,411,2011-04-24
16,21,61,,474,2011-05-18
17,21,46,,364,2010-02-04
18,22,53,,,2011-03-31
19,39,46,4,270,2010-12-27
20,36,60,,301,2011-03-28
21,22,59,,324,2011-10-02
22,34,49,,372,2010-12-14
23,38,40,,81,2011-03-21
24,32,65,3,101,2011-03-05
25,40,38,,368,2011-02-12
26,29,52,1,152,2011-04-23
27,31,63,,507,2011-09-18
28,30,74,3,589,2010-11-20
29,36,40,2,567,2010-08-27
30,33,58,,394,2011-02-19
31,25,40,,524,2011-02-10
32,37,48,,577,2010-01-15
33,29,60,,38,2010-12-25
34,31,51,,223,2011-10-23
35,23,60,6,84,2010-01-15
36,37,56,,583,2011-02-23
37,22,60,4,85,2011-08-11
38,26,66,4,108,2011-08-18
39,36,48,,125,2010-12-08
40,29,47,,138,2010-11-09
41,27,63,5,393,2011-05-11
42,28,44,,498,2011-03-16
43,24,56,,559,2010-08-28
44,36,35,,282,2011-03-29
45,26,56,,473,2010-05-09
46,34,41,,100,2011-06-16
47,20,69,1,550,2010-05-07
48,29,41,,435,2011-07-06
49,38,71,1,566,2011-07-28
50,25,46,6,11,2011-01-07
51,33,57,,104,2011-11-10
52,36,49,1,324,2011-11-25
53,40,59,,,2010-08-04
54,38,69,,74,2010-01-17
55,21,43,6,19,2010-07-01
56,39,62,,203,2011-10-23
57,29,62,,553,2011-06-10
58,25,50,,591,2010-12-02
59,33,54,,61,2010-07-11
60,31,71,,,2011-05-19
61,35,42,,9,2011-03-17
62,21,40,,,2011-07-16
63,21,45,,337,2010-12-09
64,28,44,,231,2011-08-15
65,40,42,4,386,2010-05-07
66,40,64,,457,2010-01-31
67,31,74,,525,2010-05-10
68,26,66,1,30,2010-06-08
69,24,51,6,,2010-09-19
70,25,38,,,2010-06-01
71,21,50,,169,2011-02-25
72,27,41,,297,2011-08-31
73,39,37,,588,2011-06-30
74,39,67,3,232,2011-04-22
75,20,60,,584,2010-11-11
76,38,35,,562,2010-04-24
77,38,51,,469,2011-06-05
78,25,46,1,270,2010-07-02
79,32,56,3,518,2010-05-18
80,22,48,2,246,2010-03-24
81,29,57,2,347,2011-11-06
82,28,66,,168,2011-07-27
83,37,57,,184,2010-07-26
84,28,38,,289,2010-01-06
85,28,64,,34,2010-06-02
86,34,40,,58,2010-09-03
87,33,44,,88,2010-10-25
88,34,48,,28,2010-07-06
89,38,50,,423,2010-08-04
90,32,37,,534,2010-09-16
91,40,35,5,181,2011-04-03
92,29,62,,409,2011-11-28
93,34,58,2,168,2010-02-02
94,29,46,1,340,2011-06-07
95,29,44,,451,2011-09-20
96,25,46,,41,2010-06-30
97,21,38,,281,2011-10-19
98,37,41,,418,2010-08-23
99,33,51,,483,2010-01-23
100,35,50,,325,2011-08-16
101,32,49,,,2010-12-30
102,23,41,5,269,2011-06-28
103,29,56,,16,2011-04-01
104,40,46,,318,2011-05-31
105,34,49,,253,2011-06-22
106,23,63,,424,2010-05-15
107,35,67,,344,2011-12-07
108,33,37,3,566,2011-10-21
109,28,73,,82,2010-10-12
110,40,68,,494,2010-09-27
111,35,58,,199,2011-03-20
112,35,51,,,2011-03-28
113,31,48,,304,2011-02-10
114,32,69,,,2011-03-09
115,23,52,,131,2011-04-15
116,39,68,,120,2010-04-07
117,30,56,,417,2011-06-19
118,30,69,,264,2011-08-06
119,34,74,,265,2010-03-08
120,39,42,,218,2010-01-24
121,31,63,1,85,2010-06-26
122,29,72,,226,2011-06-28
123,36,36,5,591,2011-03-03
124,29,39,4,521,2010-10-30
125,33,52,3,265,2010-08-07
126,30,62,,525,2010-11-04
127,23,46,1,,2011-01-14
128,38,42,,,2011-06-16
129,26,64,,401,2010-05-22
130,38,48,,,2010-10-07
131,32,71,,489,2011-07-08
132,24,73,,202,2010-02-03
133,34,46,,2,2010-11-05
134,27,74,,178,2011-10-29
135,28,71,4,235,2010-11-11
136,37,61,,466,2011-02-28
137,31,55,,55,2011-05-25
138,24,62,,357,2011-02-13
139,32,42,,104,2010-12-04
140,26,68,2,485,2010-03-22
141,21,43,,125,2011-01-13
142,33,74,,442,2011-02-12
143,27,39,,274,2011-08-16
144,26,47,1,219,2010-02-02
145,23,70,,,2010-06-30
146,39,61,,366,2010-11-06
147,38,41,6,148,2011-09-16
148,35,63,,271,2011-01-20
149,36,38,,437,2011-06-17
150,26,68,2,147,2010-05-28
151,33,45,3,,2011-10-17
152,31,66,,321,2011-01-23
153,25,73,,396,2011-05-01
154,33,50,,545,2010-04-10
155,38,37,1,119,2010-01-03
156,29,55,6,580,2011-01-17
157,36,74,,585,2010-06-17
158,32,37,,402,2011-05-25
159,25,75,4,198,2011-03-06
160,29,50,2,74,2011-07-21
161,38,63,6,16,2011-10-18
162,37,54,,325,2011-07-21
163,20,63,,,2010-08-04
164,36,59,,330,2011-01-02
165,33,63,,424,2010-11-28
166,31,62,,177,2011-04-23
167,33,38,,593,2010-05-01
168,35,42,,267,2011-08-17
169,24,74,,477,2011-09-21
170,22,57,1,,2011-10-27
171,21,69,,169,2011-06-08
172,39,70,1,421,2010-08-20
173,29,38,3,46,2010-03-05
174,23,63,,,2010-07-08
175,21,44,,171,2011-05-12
176,20,54,,244,2010-05-22
177,25,50,,,2010-04-26
178,20,69,,248,2010-10-12
179,40,61,,310,2011-09-24
180,24,61,,583,2010-05-07
181,33,42,3,414,2010-02-06
182,25,60,,476,2011-10-09
183,35,39,4,393,2011-01-02
184,31,62,,133,2010-05-25
185,21,38,,421,2010-11-15
186,36,63,1,235,2011-02-04
187,28,61,3,282,2011-09-08
188,23,57,,7,2011-06-13
189,26,56,2,6,2010-12-31
190,33,43,,,2011-07-31
191,32,59,2,401,2011-05-14
192,21,64,,192,2011-07-02
193,40,63,,83,2011-01-21
194,25,45,,236,2010-02-17
195,29,55,,201,2010-08-22
196,27,46,,344,2011-05-19
197,21,75,,5,2011-09-12
198,32,53,,470,2010-05-12
199,27,67,,79,2011-04-24
200,36,71,,438,2011-10-07
201,28,39,,491,2010-04-13
202,29,43,,560,2010-04-04
203,30,58,,229,2011-07-05
204,33,63,,210,2010-02-25
205,34,63,,392,2011-05-01
206,37,65,,266,2010-11-03
207,40,45,,174,2011-11-15
208,36,56,,,2011-03-08
209,32,38,,408,2011-01-21
210,39,46,6,176,2010-02-28
211,37,49,,232,2010-12-08
212,34,62,3,160,2010-09-19
213,40,35,5,403,2011-09-25
214,33,66,,351,2011-04-27
215,28,71,,520,2011-05-05
216,31,51,,170,2010-08-25
217,36,72,,391,2011-08-24
218,35,40,2,296,2011-03-25
219,37,37,,,2010-07-05
220,22,47,,425,2011-11-28
221,36,65,,378,2010-06-17
222,31,40,,263,2010-07-20
223,29,45,2,529,2010-01-08
224,40,72,,387,2010-12-18
225,39,46,4,428,2011-10-05
226,20,74,,1,2011-10-01
227,40,36,,277,2010-03-24
228,37,67,,540,2011-06-01
229,27,64,2,,2011-03-31
230,37,61,,,2011-03-03
231,21,41,,257,2011-03-20
232,38,60,,,2010-04-30
233,39,48,4,277,2010-01-10
234,35,66,,456,2011-10-17
235,33,36,,387,2011-05-27
236,37,57,,165,2011-11-05
237,37,72,,,2010-05-08
238,33,61,,247,2011-11-16
239,32,69,,542,2010-06-19
240,20,35,3,274,2011-11-09
241,25,39,,98,2010-03-13
242,27,64,,128,2010-06-04
243,32,75,,589,2011-11-04
244,22,40,,19,2010-01-10
245,27,59,,507,2011-08-06
246,31,55,,515,2010-01-03
247,37,71,,93,2010-08-10
248,35,71,3,,2010-11-21
249,22,57,2,80,2010-06-30
250,30,46,2,,2010-02-25
251,38,38,,476,2010-07-14
252,31,44,,96,2011-09-14
253,37,42,3,171,2010-01-17
254,34,60,,358,2010-04-02
255,30,64,4,92,2010-12-23
256,35,59,,33,2010-10-21
257,31,74,2,388,2010-03-12
258,31,48,,574,2010-11-28
259,33,74,,445,2011-06-22
260,21,52,1,42,2011-12-02
261,25,47,5,293,2011-10-05
262,33,51,,,2011-07-16
263,38,73,,209,2010-07-27
264,23,69,,,2010-06-13
265,22,43,,141,2011-03-08
266,35,39,,,2011-08-11
267,25,47,4,174,2011-04-12
268,24,74,5,55,2011-12-02
269,32,35,6,,2011-04-18
270,30,57,2,449,2010-10-30
