id,temp,humidity,rainfall,cases,date
1,20,43,2,409,2012-04-02
2,20,54,,361,2012-10-05
3,33,37,5,377,2012-08-07
4,36,62,,234,2013-05-21
5,38,35,3,350,2012-01-20
6,30,58,,238,2013-11-20
7,39,51,,288,2012-12-01
8,25,54,,125,2013-08-19
9,27,37,1,,2012-02-18
10,38,44,,427,2013-08-21
11,38,36,,48,2013-04-07
12,24,58,4,34,2012-05-31
13,26,37,,102,2012-09-03
14,36,50,,210,2012-11-17
15,35,58,,590,2013-10-03
16,29,67,,145,2013-08-04
17,36,35,,131,2013-08-07
18,31,71,6,306,2013-10-16
19,38,70,,280,2012-05-20
20,28,44,,375,2013-04-20
21,22,55,,263,2012-09-29
22,36,51,,94,2013-10-08
23,21,66,,513,2013-11-11
24,26,43,,,2013-08-29
25,30,40,,489,2013-11-11
26,21,74,,565,2012-09-10
27,30,42,,296,2013-11-12
28,34,73,,276,2013-02-21
29,34,37,,175,2012-11-01
30,25,63,,487,2013-07-02
31,39,75,4,257,2013-08-13
32,26,58,,,2012-01-28
33,30,39,,339,2012-05-28
34,29,39,,183,2013-02-01
35,36,35,,295,2013-05-23
36,29,47,2,545,2012-08-26
37,20,70,5,237,2012-09-26
38,27,40,,193,2013-07-12
39,36,43,5,,2013-02-16
40,28,51,,213,2013-04-05
41,37,69,,335,2012-11-03
42,23,66,1,327,2012-02-27
43,20,48,,271,2013-02-05
44,32,39,,433,2012-09-22
45,35,38,,565,2012-09-21
46,26,50,,50,2012-03-08
47,24,46,,,2012-04-03
48,40,75,,379,2013-03-15
49,34,44,,85,2013-04-03
50,23,43,3,498,2012-01-22
51,23,58,4,175,2012-03-30
52,26,67,,,2013-03-04
53,36,50,5,370,2013-04-08
54,27,59,,22,2012-05-05
55,39,35,2,379,2013-08-11
56,40,39,,51,2012-09-21
57,31,42,,252,2012-02-22
58,38,36,,491,2012-07-29
59,30,61,,383,2013-03-04
60,32,43,6,17,2013-02-24
61,23,57,,171,2013-01-28
62,37,40,6,41,2012-05-30
63,30,42,,166,2012-03-07
64,29,61,,92,2013-05-17
65,31,41,,415,2013-09-30
66,36,74,,,2012-03-03
67,29,52,,98,2013-09-04
68,23,65,,496,2013-11-11
69,28,64,,263,2013-12-03
70,31,50,1,,2013-03-14
71,34,55,,118,2013-05-06
72,34,36,3,324,2012-08-13
73,20,42,5,134,2012-11-11
74,22,75,5,,2012-09-09
75,37,62,,220,2012-08-17
76,32,50,4,115,2012-08-20
77,38,74,,314,2012-04-07
78,23,64,,318,2013-04-02
79,34,53,,,2013-01-27
80,34,42,,538,2013-01-08
81,23,52,,556,2013-01-26
82,28,35,,255,2012-04-16
83,37,75,,50,2013-05-06
84,32,64,,15,2013-03-21
85,35,54,6,153,2013-10-29
86,24,64,,274,2013-09-05
87,40,43,,,2012-12-26
88,31,58,6,,2013-08-17
89,24,44,3,,2013-07-16
90,26,39,,374,2012-12-28
91,35,46,,38,2013-01-13
92,26,51,2,219,2012-03-15
93,31,59,1,10,2012-11-30
94,22,50,2,528,2012-05-19
95,20,68,,35,2013-11-03
96,32,59,,536,2013-11-12
97,39,46,,509,2012-06-14
98,34,65,,186,2012-05-25
99,38,44,4,412,2012-12-11
100,28,54,,136,2012-06-29
101,37,40,4,491,2013-05-04
102,22,60,,538,2012-07-11
103,30,51,4,193,2013-05-08
104,37,67,,276,2013-06-18
105,34,70,1,416,2013-04-15
106,26,55,5,346,2013-05-29
107,30,48,,,2013-08-21
108,20,37,,545,2012-01-13
109,24,60,,236,2013-07-01
110,32,37,,444,2012-04-18
111,38,42,6,129,2013-11-02
112,31,37,1,547,2012-01-28
113,39,57,6,241,2012-07-30
114,22,45,,241,2012-07-16
115,23,53,,29,2012-10-07
116,22,61,5,436,2013-05-16
117,31,63,,86,2013-06-22
118,26,57,,101,2013-01-22
119,28,42,,310,2013-01-21
120,25,55,,593,2012-07-31
121,33,71,,576,2012-08-26
122,27,62,,297,2013-12-10
123,31,49,1,478,2013-04-03
