id,temp,humidity,rainfall,cases,date
1,39,38,,324,2006-01-23
2,23,37,,281,2007-05-07
3,34,72,,,2007-11-24
4,35,65,,283,2006-12-09
5,28,35,,144,2007-07-24
6,37,69,3,113,2007-08-18
7,26,35,4,308,2007-01-29
8,23,57,2,485,2007-09-16
9,25,38,,556,2006-12-09
10,23,62,5,448,2007-07-09
11,40,65,,295,2007-08-13
12,28,72,6,68,2006-05-13
13,38,44,,31,2007-10-23
14,31,47,,35,2006-03-04
15,34,50,,,2007-03-05
16,22,48,,200,2007-05-21
17,21,39,,198,2007-02-10
18,20,47,2,10,2007-04-06
19,22,57,3,85,2007-05-25
20,28,64,,,2007-07-17
21,36,35,,321,2007-09-24
22,28,60,1,105,2006-03-23
23,27,51,,222,2006-03-02
24,31,47,,13,2006-05-14
25,25,72,,367,2006-06-25
26,30,40,,468,2006-09-29
27,36,47,,196,2006-12-29
28,40,66,,365,2007-04-25
29,37,59,4,362,2007-08-31
30,24,69,,554,2006-12-17
31,30,57,4,269,2006-03-22
32,36,44,,68,2007-12-01
33,26,75,,52,2007-04-24
34,33,67,4,414,2007-06-22
35,40,65,,378,2006-07-29
36,29,48,,100,2006-04-07
37,21,51,,449,2007-10-08
38,31,50,5,118,2007-03-27
39,34,60,1,597,2006-03-22
40,32,36,,508,2006-12-14
41,40,73,,,2006-10-19
42,32,50,,121,2007-07-22
43,33,40,,,2006-11-02
44,21,50,,,2006-06-01
45,35,57,,525,2006-12-07
46,33,70,,168,2006-09-14
47,37,73,,179,2006-08-30
48,27,63,,346,2007-08-05
49,24,48,,224,2006-11-22
50,25,35,,525,2006-08-24
51,20,74,5,,2007-04-29
52,29,54,2,120,2006-12-02
53,33,41,,171,2007-01-21
54,37,64,,595,2007-07-20
55,30,45,,73,2007-07-20
56,30,38,,42,2007-09-27
57,36,35,,1,2006-02-05
58,26,66,,141,2006-10-28
59,36,75,,126,2006-11-12
60,38,60,,549,2006-05-08
61,37,57,4,442,2007-06-10
62,38,42,2,93,2006-11-29
63,21,53,3,490,2006-11-27
64,40,59,3,154,2006-05-30
65,31,38,2,590,2007-07-27
66,37,61,,139,2006-02-16
67,40,35,1,521,2007-05-13
68,35,62,,91,2007-03-18
69,40,61,3,213,2006-05-12
70,38,56,3,516,2006-04-24
71,40,69,6,218,2006-02-03
72,23,40,,124,2007-08-02
73,37,49,3,355,2006-07-18
74,23,60,,245,2007-12-11
75,37,62,6,553,2007-09-16
76,37,74,,164,2006-02-28
77,20,43,,71,2006-08-05
78,22,45,,419,2007-09-17
79,27,64,,299,2006-08-15
80,38,37,2,406,2006-06-05
81,35,53,,489,2007-10-06
82,34,67,,,2006-12-23
83,25,44,,211,2006-09-30
84,31,72,,383,2007-10-06
85,21,54,,427,2006-02-06
86,28,45,,155,2007-03-31
87,33,63,,64,2006-08-18
88,27,62,,,2007-12-08
89,34,60,,416,2007-12-09
90,40,37,,,2007-02-21
91,28,58,,130,2007-03-04
92,20,37,,370,2007-11-08
93,26,66,4,181,2006-06-26
94,26,70,,,2007-01-06
95,26,47,,505,2006-12-29
96,29,60,,52,2006-10-26
97,28,63,,252,2007-01-17
98,28,62,,335,2007-12-09
99,28,44,,339,2006-08-08
100,34,69,,499,2006-02-16
101,23,52,,543,2007-02-27
102,37,63,2,191,2007-07-28
103,33,70,5,582,2007-01-24
104,36,73,1,194,2006-06-15
105,34,46,6,561,2006-05-15
106,29,74,4,410,2007-09-19
107,26,65,3,480,2006-12-28
108,26,67,3,139,2006-01-27
109,28,35,,,2006-12-27
110,21,40,,151,2007-09-12
111,33,67,,432,2006-05-12
112,36,41,,121,2007-02-19
113,20,37,4,186,2006-02-04
114,31,48,,593,2007-10-11
115,34,39,6,444,2006-12-14
116,22,68,,435,2006-07-06
117,38,36,,310,2006-02-03
118,33,56,4,513,2006-09-05
119,25,43,,,2006-06-30
120,34,45,,208,2006-05-09
121,31,40,,,2006-04-19
122,28,60,5,151,2007-07-06
123,39,58,6,298,2006-01-29
124,28,71,,60,2006-12-18
125,20,54,,,2007-02-06
126,23,44,,221,2006-10-03
127,22,64,,299,2006-08-03
128,31,73,,333,2007-11-13
129,23,56,,,2006-03-22
130,27,40,3,361,2007-04-19
131,37,66,,219,2007-10-10
132,33,53,1,244,2006-03-24
133,29,53,,404,2007-04-18
134,23,46,,258,2006-10-30
135,38,55,6,573,2007-10-14
136,21,72,6,44,2007-05-01
137,39,71,5,258,2007-09-30
138,23,59,,368,2007-02-28
139,30,35,,390,2007-11-11
140,31,64,,,2006-09-22
141,40,43,5,329,2006-01-11
142,25,63,,4,2006-07-09
143,33,47,1,331,2006-07-31
144,38,61,5,119,2007-02-24
145,39,36,,338,2007-03-14
146,36,68,,202,2006-02-23
147,21,35,6,368,2006-02-21
148,22,50,5,115,2006-09-30
149,26,66,5,2,2006-10-02
150,36,60,,254,2007-01-20
151,38,75,,384,2006-03-16
152,33,36,,,2007-08-23
153,37,71,,583,2007-09-02
154,37,72,,507,2007-05-30
155,29,49,2,44,2007-02-27
156,33,49,1,,2006-12-01
157,24,46,,2,2007-11-13
158,31,60,5,326,2006-07-31
159,39,45,,346,2007-12-07
160,29,54,,18,2007-06-28
161,25,39,5,559,2007-03-14
162,27,48,2,342,2006-09-21
163,25,58,,283,2006-01-02
164,31,68,,284,2007-04-25
165,39,61,,298,2007-12-10
166,28,40,,369,2007-03-18
167,22,70,,335,2007-06-11
168,27,66,2,353,2006-05-03
169,21,67,2,320,2007-02-05
170,32,53,,344,2007-02-19
171,37,48,,202,2007-02-24
172,30,62,,,2007-01-01
173,25,46,,116,2006-03-13
174,21,70,6,540,2007-09-20
175,25,44,6,320,2006-02-11
176,27,43,5,165,2007-04-04
177,25,62,6,211,2006-08-05
178,28,51,,153,2006-12-24
179,38,69,,325,2006-03-25
180,21,47,,127,2007-10-06
181,25,54,,,2007-02-07
182,22,62,,108,2006-11-17
183,23,49,5,154,2007-03-12
184,39,47,,287,2006-01-25
185,37,36,,189,2007-08-21
186,34,53,,323,2006-04-15
187,40,51,,314,2006-07-14
188,27,43,,,2006-10-22
189,36,73,,,2006-10-22
190,24,46,5,24,2006-12-13
191,32,52,,,2007-08-04
