id,temp,humidity,rainfall,cases,date
1,21,44,,435,2016-07-02
2,33,42,3,447,2017-10-05
3,24,35,,107,2017-04-01
4,35,71,,527,2017-12-11
5,38,73,,331,2017-02-19
6,33,66,,281,2017-01-15
7,23,50,,,2017-02-06
8,20,58,,42,2017-02-23
9,20,72,,497,2016-11-15
10,35,51,,496,2016-10-25
11,24,73,5,557,2016-02-04
12,27,66,,399,2016-08-08
13,28,38,5,275,2017-11-21
14,22,70,,252,2016-01-22
15,23,60,6,160,2016-06-24
16,40,39,,,2017-02-16
17,35,59,,515,2016-04-12
18,28,61,,139,2016-03-01
19,26,39,,185,2017-03-26
20,28,62,2,11,2016-11-05
21,33,56,,509,2016-09-02
22,35,49,5,299,2016-03-14
23,25,63,,92,2017-01-21
24,38,73,,55,2017-10-11
25,32,50,,312,2016-01-29
26,28,50,,144,2016-08-30
27,21,58,2,292,2016-03-10
28,37,45,3,55,2017-09-14
29,29,57,,591,2016-07-25
30,23,61,,87,2016-09-20
31,40,62,,487,2016-03-08
32,29,46,3,596,2016-01-16
33,36,67,,487,2016-07-12
34,25,73,1,166,2017-01-31
35,26,46,,9,2017-07-14
36,34,66,,540,2016-05-17
37,24,72,,320,2017-03-07
38,34,43,3,7,2017-12-11
39,35,64,1,513,2017-07-15
40,27,35,,13,2016-09-12
41,25,70,,538,2017-09-19
42,22,74,,183,2017-01-17
43,25,43,,180,2017-11-24
44,27,39,,162,2016-11-06
45,20,67,4,582,2016-12-09
46,35,62,1,,2017-02-15
47,25,46,2,189,2016-11-14
48,25,70,3,154,2016-12-23
49,35,59,,240,2016-01-18
50,39,71,,230,2017-03-17
51,28,60,,153,2016-05-30
52,25,41,1,544,2017-05-18
53,34,50,,582,2016-11-17
54,26,73,,595,2017-06-04
55,40,59,,539,2017-07-06
56,30,68,3,326,2017-04-14
57,27,40,2,53,2016-08-21
58,28,62,4,449,2016-06-26
59,32,44,,60,2016-05-20
60,32,69,5,163,2017-02-02
61,37,75,,571,2016-05-04
62,26,70,,97,2016-06-16
63,22,47,,256,2017-06-02
64,31,64,,286,2016-10-23
65,29,65,,,2016-05-26
66,26,72,2,358,2017-05-12
67,36,70,,431,2016-09-23
68,21,61,,9,2017-03-24
69,30,70,,348,2016-10-19
70,27,45,1,,2017-03-12
71,29,43,,187,2016-03-25
72,24,68,,52,2016-11-25
73,23,66,,465,2017-10-08
74,22,60,1,519,2016-01-24
75,36,71,6,399,2016-03-28
76,23,60,,,2017-01-16
77,27,51,,594,2016-02-26
78,26,41,,581,2016-04-21
79,29,41,,595,2017-11-18
80,26,50,4,215,2017-08-25
81,23,71,3,34,2016-01-30
82,26,60,,459,2017-11-13
83,21,59,,154,2016-06-06
84,29,74,2,85,2017-01-08
85,23,74,,334,2017-10-10
86,25,40,,,2017-07-15
87,33,69,,349,2016-08-11
88,24,36,,544,2016-08-19
89,39,60,4,430,2017-07-20
90,20,54,,318,2016-08-15
91,20,37,,89,2016-06-14
92,31,42,,,2016-02-03
93,35,69,2,,2017-07-19
94,30,41,,319,2016-05-19
95,23,54,,229,2017-11-06
96,22,46,4,45,2017-10-31
97,31,44,,251,2017-01-09
98,40,38,,141,2016-10-06
99,39,53,4,328,2016-01-02
100,40,57,,419,2017-07-23
101,33,51,4,176,2016-03-17
102,39,37,,115,2017-11-06
103,30,74,,383,2016-06-27
104,39,50,,532,2016-06-09
105,23,42,,551,2016-01-28
106,32,45,,526,2016-12-01
107,37,35,,277,2016-02-17
108,20,69,,199,2017-08-16
109,20,35,,342,2017-04-23
110,38,61,,484,2016-04-08
111,20,50,,559,2017-01-02
112,27,70,2,373,2016-06-17
113,31,61,1,395,2016-05-21
114,22,40,,46,2017-05-13
115,33,66,,,2017-08-23
116,24,63,4,520,2016-05-29
117,30,57,,446,2016-07-16
118,28,48,6,475,2017-11-15
119,26,66,,74,2016-06-23
120,30,39,,219,2017-08-13
121,40,57,,27,2017-04-12
122,26,69,2,220,2016-01-24
123,25,59,,136,2016-09-27
124,32,38,,327,2016-01-25
125,21,45,,495,2016-02-09
126,26,58,,107,2017-02-01
127,40,41,,137,2017-09-01
128,37,60,,47,2017-10-20
